datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
datacomp_l_s1b_b8k,Avg Sum,0.3416,0.3719,0.3665,0.3709,0.3103,0.3498,0.3319,0.3492,0.3489,0.4661,0.328,0.3568,0.1174,0.3386,0.1824,0.058,0.8856,0.434,0.3639,0.282
datacomp_l_s1b_b8k,openAI Aggregation,0.3393,0.3819,0.3643,0.3827,0.3003,0.3446,0.3378,0.3555,0.3427,0.4322,0.3234,0.3572,0.1006,0.3137,0.321,0.0417,0.874,0.4169,0.2771,0.2933
openai,Avg Sum,0.6626,0.6181,0.6527,0.7087,0.6564,0.6751,0.6807,0.5867,0.6542,0.6441,0.6592,0.6664,0.6561,0.5233,0.6371,0.7166,0.8638,0.69,0.5889,0.1447
openai,openAI Aggregation,0.6717,0.6332,0.6541,0.7062,0.6661,0.6837,0.697,0.6168,0.6542,0.6441,0.6759,0.667,0.6555,0.5722,0.5687,0.7244,0.8702,0.7051,0.6435,0.1084
laion400m_e32,Avg Sum,0.6242,0.6332,0.5885,0.6622,0.6142,0.6378,0.646,0.6018,0.595,0.6356,0.6121,0.6379,0.469,0.6916,0.6038,0.7053,0.856,0.5719,0.4069,0.208
laion400m_e32,openAI Aggregation,0.6232,0.6382,0.59,0.6596,0.6082,0.6399,0.646,0.6055,0.595,0.6441,0.6076,0.6408,0.5181,0.6782,0.6981,0.6466,0.8368,0.5554,0.3457,0.2656
datacomp_xl_s13b_b90k,Avg Sum,0.4995,0.5276,0.5288,0.5292,0.4676,0.5155,0.4863,0.505,0.4798,0.5678,0.4839,0.517,0.2032,0.7348,0.2957,0.5039,0.8869,0.5336,0.201,0.2789
datacomp_xl_s13b_b90k,openAI Aggregation,0.4984,0.5075,0.5428,0.547,0.4548,0.5052,0.493,0.5151,0.4766,0.5763,0.4793,0.5198,0.2148,0.6911,0.5163,0.4064,0.8663,0.4941,0.1447,0.3315
commonpool_l_s1b_b8k,Avg Sum,0.3894,0.4472,0.4233,0.4005,0.3718,0.3837,0.3636,0.407,0.4174,0.4915,0.3791,0.4008,0.3432,0.4691,0.0314,0.5067,0.7841,0.4314,0.0935,0.3485
commonpool_l_s1b_b8k,openAI Aggregation,0.395,0.4623,0.427,0.4166,0.3833,0.3824,0.3732,0.4058,0.3925,0.4576,0.3797,0.4122,0.3323,0.4211,0.223,0.4813,0.7757,0.3865,0.0811,0.3048
laion2b_s34b_b88k,Avg Sum,0.6578,0.6332,0.6423,0.6926,0.6555,0.6648,0.6681,0.6256,0.6168,0.6695,0.6468,0.6703,0.6632,0.6921,0.5576,0.6629,0.8528,0.688,0.4318,0.218
laion2b_s34b_b88k,openAI Aggregation,0.6508,0.6231,0.6423,0.6859,0.6412,0.6588,0.663,0.6319,0.6137,0.6441,0.6333,0.6705,0.6665,0.6566,0.6932,0.6219,0.8316,0.6636,0.349,0.2913
