datasource,Mode,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap
openai,Avg Sum,0.6682,0.593,0.6593,0.7189,0.66,0.6704,0.6748,0.6332,0.676,0.7203,0.6595,0.678,0.7123,0.4873,0.6543,0.6926,0.8663,0.7322,0.579,0.1876
openai,openAI Aggregation,0.6689,0.593,0.66,0.7197,0.6564,0.6725,0.6851,0.6319,0.676,0.7119,0.6614,0.6773,0.7019,0.482,0.6691,0.7046,0.8535,0.7361,0.5848,0.194
laion400m_e32,Avg Sum,0.6665,0.6382,0.646,0.718,0.6642,0.673,0.68,0.6181,0.6231,0.661,0.6614,0.6722,0.691,0.705,0.5059,0.5781,0.8985,0.7058,0.5401,0.1547
laion400m_e32,openAI Aggregation,0.6614,0.6332,0.6519,0.7172,0.6573,0.6609,0.6681,0.6281,0.6199,0.6441,0.6483,0.6761,0.6903,0.6954,0.6205,0.5152,0.8843,0.6893,0.4698,0.1823
datacomp_xl_s13b_b90k,Avg Sum,0.6202,0.6332,0.615,0.6181,0.6203,0.6343,0.6135,0.6068,0.6012,0.6186,0.6193,0.6213,0.7058,0.8499,0.1731,0.5922,0.8683,0.6636,0.3739,0.4307
datacomp_xl_s13b_b90k,openAI Aggregation,0.6305,0.603,0.6327,0.6401,0.6206,0.6442,0.6327,0.6219,0.6293,0.6017,0.6248,0.637,0.6948,0.8129,0.4042,0.5625,0.8631,0.6405,0.3052,0.3067
laion2b_s32b_b82k,Avg Sum,0.693,0.608,0.691,0.7231,0.6909,0.6974,0.711,0.6457,0.6791,0.678,0.6859,0.7009,0.7755,0.7041,0.5903,0.6431,0.8374,0.7289,0.5335,0.154
laion2b_s32b_b82k,openAI Aggregation,0.6934,0.6131,0.6925,0.7257,0.6945,0.6936,0.7147,0.6445,0.6636,0.6441,0.6851,0.7026,0.7845,0.7132,0.5933,0.6261,0.8355,0.7335,0.5219,0.165
commonpool_xl_s13b_b90k,Avg Sum,0.5846,0.5578,0.5767,0.5859,0.5742,0.597,0.5913,0.5917,0.5888,0.6186,0.5886,0.5802,0.5297,0.7472,0.2286,0.6912,0.8695,0.531,0.4285,0.3465
commonpool_xl_s13b_b90k,openAI Aggregation,0.5952,0.5729,0.5944,0.6063,0.5782,0.6107,0.6031,0.5942,0.595,0.6186,0.5932,0.5974,0.5297,0.7281,0.4085,0.6615,0.8528,0.5435,0.3565,0.2264
