Model,accuracy,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,Race Gap,Prompt
ViT-B-16,0.6558,0.6131,0.6475,0.7079,0.6479,0.6661,0.6667,0.6043,0.6324,0.6102,0.6602,0.6509,0.6026,0.5472,0.5354,0.7124,0.858,0.7236,0.6617,0.1276,RAGP
ViT-B-16,0.6428,0.6181,0.604,0.6765,0.6382,0.6549,0.6763,0.6005,0.6324,0.6102,0.6447,0.6406,0.6574,0.4494,0.6149,0.735,0.822,0.6583,0.6369,0.204,RGP
ViT-B-32,0.6472,0.6583,0.6401,0.6952,0.647,0.6524,0.6445,0.5892,0.6075,0.661,0.6293,0.6672,0.6652,0.5583,0.5656,0.7314,0.874,0.6814,0.4533,0.1937,RAGP
ViT-B-32,0.6402,0.6281,0.618,0.6842,0.6339,0.6451,0.6475,0.6206,0.6137,0.678,0.6222,0.6604,0.6806,0.5424,0.6303,0.7088,0.8445,0.684,0.3722,0.2653,RGP
ViT-H-14,0.6969,0.6683,0.6748,0.7307,0.7024,0.6948,0.7058,0.6671,0.6854,0.678,0.6885,0.7063,0.7503,0.7583,0.4972,0.6827,0.8734,0.7381,0.5285,0.1926,RAGP
ViT-H-14,0.692,0.6583,0.6652,0.729,0.6973,0.6931,0.6948,0.6696,0.6604,0.7203,0.6846,0.7003,0.7413,0.8096,0.4861,0.6933,0.8715,0.7005,0.4591,0.2211,RGP
ViT-L-14,0.6724,0.593,0.6608,0.7223,0.673,0.6742,0.6763,0.6156,0.6698,0.7288,0.6739,0.6707,0.6677,0.5098,0.5761,0.7336,0.8535,0.7454,0.6915,0.1727,RAGP
ViT-L-14,0.6616,0.593,0.6504,0.7036,0.6561,0.6631,0.6748,0.6256,0.6542,0.7203,0.6642,0.6587,0.6929,0.4585,0.6106,0.7258,0.8413,0.7342,0.6427,0.2138,RGP
ViT-g-14,0.6861,0.6231,0.649,0.713,0.6948,0.6966,0.6896,0.6508,0.6791,0.7119,0.6783,0.6947,0.6458,0.7122,0.4288,0.7484,0.8907,0.7579,0.6112,0.2562,RAGP
ViT-g-14,0.6824,0.6281,0.6475,0.7096,0.6833,0.694,0.6925,0.6621,0.6667,0.7119,0.673,0.6929,0.631,0.7276,0.4763,0.7689,0.8676,0.7164,0.5649,0.2027,RGP
