,Mode,accuracy,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9582,0.9356,0.9835,0.949,0.965,0.9698,0.9428,0.9319,0.969,0.981,0.7085,0.8975,0.9441,0.9688,0.9845,0.9815,0.9724,0.9907,0.9492
1,Top 2,0.9609,0.9498,0.9735,0.9561,0.9583,0.9692,0.9512,0.9415,0.9736,0.981,0.7739,0.9211,0.9483,0.9658,0.9815,0.9808,0.9711,0.9875,0.9492
2,Top 1,0.9603,0.9501,0.9717,0.9535,0.9583,0.9686,0.9534,0.9396,0.9723,0.981,0.7538,0.9181,0.9483,0.9645,0.982,0.983,0.9724,0.9875,0.9492
3,Top 3,0.9612,0.9492,0.9746,0.9548,0.9592,0.9704,0.9534,0.9415,0.9723,0.981,0.7789,0.9204,0.9475,0.9661,0.982,0.9808,0.9724,0.9875,0.9576
4,Top 4,0.9615,0.9491,0.9754,0.9548,0.9588,0.971,0.9534,0.9428,0.9723,0.9818,0.7839,0.9196,0.9483,0.9661,0.9824,0.9808,0.9724,0.9907,0.9576
5,Top 5,0.9616,0.9484,0.9764,0.9542,0.9612,0.9717,0.9534,0.9415,0.973,0.9793,0.7789,0.9174,0.9483,0.967,0.9833,0.9808,0.9724,0.9907,0.9576
6,Top 6,0.9619,0.948,0.9775,0.9548,0.9621,0.9717,0.9527,0.9415,0.973,0.981,0.7839,0.9181,0.9475,0.9676,0.9837,0.9808,0.9724,0.9907,0.9576
7,Top 7,0.9618,0.9473,0.9781,0.9548,0.9621,0.9717,0.9519,0.9409,0.973,0.9818,0.7789,0.9181,0.9458,0.9682,0.9837,0.9808,0.9724,0.9907,0.9576
8,Top 8,0.9615,0.9468,0.9779,0.9523,0.9626,0.9704,0.9527,0.9415,0.9723,0.9818,0.7688,0.9181,0.9458,0.9682,0.9833,0.9808,0.9724,0.9907,0.9492
9,Top 9,0.9613,0.9465,0.9779,0.9535,0.9621,0.9704,0.9519,0.9402,0.9723,0.9818,0.7638,0.9174,0.9458,0.9682,0.9833,0.9808,0.9724,0.9907,0.9492
10,Top 10,0.961,0.9456,0.9783,0.9535,0.9616,0.9704,0.9512,0.9396,0.9723,0.9818,0.7538,0.9167,0.9458,0.9682,0.9833,0.9808,0.9724,0.9907,0.9492
11,Top 15,0.9604,0.943,0.9799,0.9523,0.9626,0.9698,0.9505,0.9364,0.9723,0.9818,0.7437,0.9137,0.9467,0.9676,0.9833,0.9808,0.9724,0.9907,0.9492
