,Mode,accuracy,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9635,0.947,0.982,0.951,0.9635,0.9729,0.9491,0.9544,0.9756,0.9801,0.7588,0.924,0.9416,0.9709,0.9837,0.9837,0.9799,0.9875,0.9661
1,Top 2,0.9643,0.9582,0.9711,0.9529,0.9631,0.9704,0.9548,0.955,0.9736,0.9843,0.7789,0.9358,0.95,0.9673,0.9803,0.9845,0.9799,0.9813,0.9661
2,Top 1,0.9642,0.9582,0.9709,0.9523,0.9635,0.9735,0.9534,0.9557,0.9749,0.9785,0.7789,0.9358,0.95,0.9676,0.9811,0.9823,0.9799,0.9782,0.9661
3,Top 3,0.965,0.9568,0.9742,0.9542,0.964,0.9723,0.9548,0.9569,0.973,0.9835,0.7789,0.9351,0.9492,0.9697,0.9815,0.9837,0.9812,0.9782,0.9661
4,Top 4,0.965,0.9556,0.9756,0.9555,0.9635,0.9717,0.9548,0.9563,0.9736,0.9835,0.7688,0.9358,0.9492,0.9697,0.9811,0.9845,0.9824,0.9782,0.9661
5,Top 5,0.9651,0.9553,0.9762,0.9555,0.9635,0.9717,0.9548,0.9569,0.9736,0.9835,0.7688,0.9344,0.9492,0.9703,0.9811,0.9845,0.9824,0.9813,0.9661
6,Top 6,0.9655,0.9553,0.9769,0.9555,0.964,0.9723,0.9548,0.9576,0.9743,0.9835,0.7688,0.9344,0.95,0.9709,0.982,0.9845,0.9812,0.9813,0.9661
7,Top 7,0.9659,0.9549,0.9783,0.9555,0.965,0.9723,0.9562,0.9576,0.9749,0.9835,0.7638,0.9344,0.9492,0.9715,0.9837,0.9852,0.9812,0.9813,0.9661
8,Top 8,0.9656,0.9546,0.9779,0.9555,0.964,0.9723,0.9548,0.9589,0.9736,0.9835,0.7588,0.9344,0.9492,0.9709,0.9833,0.9852,0.9812,0.9813,0.9661
9,Top 9,0.9658,0.9544,0.9785,0.9555,0.964,0.9723,0.9541,0.9595,0.9749,0.9835,0.7588,0.9351,0.9492,0.9709,0.9833,0.9852,0.9812,0.9844,0.9661
10,Top 10,0.9654,0.9537,0.9785,0.9548,0.9635,0.9723,0.9534,0.9595,0.9749,0.9826,0.7588,0.9336,0.9475,0.9709,0.9837,0.9852,0.9799,0.9844,0.9661
11,Top 15,0.9649,0.9523,0.9791,0.9548,0.9635,0.9729,0.9527,0.9569,0.9749,0.9818,0.7538,0.9307,0.945,0.9715,0.9841,0.9845,0.9812,0.9844,0.9661
