,Mode,accuracy,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9646,0.9501,0.9808,0.9613,0.9655,0.9686,0.9569,0.9531,0.971,0.9777,0.7186,0.9285,0.9416,0.9745,0.9837,0.983,0.9837,0.9844,0.9746
1,Top 2,0.968,0.9615,0.9752,0.9632,0.9703,0.9723,0.9604,0.9544,0.9749,0.9818,0.7638,0.9454,0.9517,0.9724,0.9854,0.9815,0.9824,0.9844,0.9661
2,Top 1,0.9665,0.962,0.9715,0.9606,0.9683,0.9704,0.9618,0.9518,0.9736,0.981,0.7739,0.9447,0.9517,0.9709,0.9833,0.98,0.9786,0.9782,0.9661
3,Top 3,0.9671,0.9589,0.9764,0.9619,0.9688,0.9723,0.9604,0.955,0.9736,0.9793,0.7487,0.941,0.9517,0.9733,0.9841,0.9815,0.9824,0.9844,0.9661
4,Top 4,0.967,0.9584,0.9766,0.9606,0.9679,0.971,0.9618,0.9557,0.9736,0.9801,0.7588,0.9417,0.9509,0.9727,0.9837,0.9808,0.9812,0.9844,0.9746
5,Top 5,0.967,0.958,0.9771,0.9613,0.9674,0.971,0.9618,0.955,0.9749,0.9801,0.7688,0.941,0.9517,0.9724,0.9828,0.9815,0.9812,0.9875,0.9746
6,Top 6,0.9676,0.9582,0.9781,0.9626,0.9679,0.9698,0.9625,0.9563,0.9756,0.981,0.7739,0.941,0.9509,0.9739,0.9824,0.9815,0.9837,0.9875,0.9746
7,Top 7,0.9675,0.9579,0.9783,0.9632,0.9679,0.9692,0.9625,0.9569,0.9756,0.9793,0.7739,0.9403,0.9517,0.9739,0.9824,0.9815,0.9837,0.9844,0.9746
8,Top 8,0.9674,0.9579,0.9781,0.9632,0.9674,0.9692,0.9625,0.9563,0.9756,0.9801,0.7739,0.9403,0.9517,0.9736,0.9824,0.9815,0.9837,0.9875,0.9661
9,Top 9,0.968,0.9582,0.9791,0.9632,0.9679,0.9704,0.9625,0.9576,0.9769,0.9801,0.7739,0.9425,0.9517,0.9736,0.9833,0.9823,0.9837,0.9907,0.9661
10,Top 10,0.9681,0.9582,0.9793,0.9632,0.9683,0.9704,0.9633,0.9569,0.9769,0.9801,0.7739,0.9417,0.9517,0.9736,0.9841,0.9823,0.9837,0.9907,0.9661
11,Top 15,0.9674,0.9563,0.9799,0.9626,0.9679,0.9704,0.9618,0.9563,0.9749,0.9801,0.7588,0.9403,0.95,0.9752,0.9833,0.9808,0.9824,0.9875,0.9661
