,Mode,accuracy,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9581,0.9467,0.9709,0.9568,0.9626,0.963,0.9477,0.9344,0.9677,0.976,0.7588,0.9226,0.9348,0.9627,0.9781,0.9823,0.9761,0.9813,0.9492
1,Top 2,0.957,0.9565,0.9576,0.9535,0.9573,0.9581,0.9505,0.9364,0.969,0.9785,0.7839,0.9299,0.9433,0.9585,0.9725,0.9763,0.9736,0.9782,0.9576
2,Top 1,0.9567,0.9599,0.9531,0.9542,0.9535,0.9575,0.9498,0.9402,0.969,0.9785,0.799,0.9292,0.9407,0.9576,0.9725,0.9771,0.9736,0.9813,0.9492
3,Top 3,0.9574,0.9555,0.9595,0.9561,0.9588,0.96,0.9498,0.9344,0.9683,0.9777,0.794,0.9292,0.9424,0.9603,0.9721,0.9756,0.9749,0.9782,0.9492
4,Top 4,0.9582,0.9555,0.9613,0.9561,0.9607,0.9593,0.9505,0.937,0.969,0.9777,0.7839,0.9314,0.9433,0.96,0.9742,0.9778,0.9749,0.9782,0.9492
5,Top 5,0.9585,0.9542,0.9632,0.9555,0.9602,0.9606,0.9498,0.9383,0.9703,0.9777,0.7789,0.9314,0.9407,0.9609,0.9747,0.9786,0.9761,0.9782,0.9576
6,Top 6,0.9591,0.9544,0.9644,0.9561,0.9612,0.9618,0.9505,0.9383,0.971,0.9777,0.7839,0.9329,0.9424,0.9615,0.9747,0.9786,0.9761,0.9782,0.9576
7,Top 7,0.9599,0.9546,0.9659,0.9568,0.9631,0.9636,0.9512,0.9383,0.971,0.9777,0.7889,0.9329,0.9424,0.9624,0.976,0.98,0.9761,0.9813,0.9492
8,Top 8,0.9599,0.9544,0.9661,0.9568,0.9626,0.9636,0.9512,0.9383,0.9716,0.9777,0.7839,0.9322,0.9441,0.9624,0.9755,0.9808,0.9761,0.9813,0.9492
9,Top 9,0.9599,0.9542,0.9663,0.9568,0.9631,0.9636,0.9505,0.9383,0.9716,0.9777,0.7789,0.9314,0.9467,0.9624,0.9751,0.9808,0.9761,0.9813,0.9492
10,Top 10,0.9601,0.9541,0.9669,0.9561,0.9631,0.9643,0.9505,0.9389,0.9723,0.9777,0.7789,0.9307,0.9467,0.963,0.9755,0.9815,0.9749,0.9813,0.9492
11,Top 15,0.9597,0.9523,0.968,0.9542,0.9631,0.9636,0.9512,0.9383,0.9723,0.9777,0.7739,0.9307,0.9441,0.963,0.9755,0.9815,0.9749,0.9813,0.9492
