,Mode,accuracy,Male,Female,East Asian,White,Latino_Hispanic,Southeast Asian,Black,Indian,Middle Eastern,0-2,3-9,10-19,20-29,30-39,40-49,50-59,60-69,more than 70
0,Avg Sum,0.9487,0.9556,0.9409,0.9529,0.9372,0.939,0.9519,0.9299,0.9683,0.9719,0.7839,0.9218,0.9213,0.9479,0.9661,0.9697,0.9749,0.9813,0.9831
1,Top 2,0.9554,0.9529,0.9582,0.9606,0.9472,0.9519,0.9534,0.9383,0.9697,0.9735,0.804,0.9255,0.9289,0.9585,0.9738,0.9712,0.9736,0.9844,0.9831
2,Top 1,0.9544,0.9539,0.9549,0.9581,0.9472,0.9501,0.9527,0.9389,0.9683,0.9719,0.799,0.9263,0.9255,0.9576,0.9721,0.9719,0.9736,0.9813,0.9831
3,Top 3,0.9551,0.9517,0.9589,0.9587,0.9472,0.9513,0.9527,0.9383,0.971,0.9735,0.7889,0.9248,0.9272,0.9597,0.973,0.9719,0.9736,0.9844,0.9831
4,Top 4,0.9549,0.9513,0.9589,0.9574,0.9477,0.9538,0.9527,0.9351,0.9703,0.9744,0.7889,0.9248,0.9272,0.9591,0.9725,0.9727,0.9736,0.9844,0.9831
5,Top 5,0.9545,0.9522,0.9572,0.9581,0.9444,0.9526,0.9548,0.9338,0.9716,0.9752,0.7889,0.9248,0.928,0.9591,0.9717,0.9712,0.9724,0.9844,0.9831
6,Top 6,0.9548,0.9525,0.9574,0.9574,0.9453,0.9507,0.9555,0.9351,0.973,0.9752,0.794,0.9285,0.928,0.9579,0.9717,0.9712,0.9736,0.9844,0.9831
7,Top 7,0.9552,0.9536,0.957,0.9587,0.9439,0.9513,0.9541,0.9377,0.9743,0.9752,0.799,0.9285,0.9289,0.9576,0.9725,0.9719,0.9736,0.9844,0.9831
8,Top 8,0.9553,0.9539,0.9568,0.9587,0.9458,0.9489,0.9541,0.9377,0.9756,0.9744,0.809,0.9285,0.9289,0.957,0.973,0.9712,0.9749,0.9844,0.9831
9,Top 9,0.9546,0.9532,0.9562,0.9581,0.9463,0.9482,0.9548,0.9351,0.9736,0.9744,0.799,0.927,0.928,0.9564,0.973,0.9712,0.9749,0.9844,0.9831
10,Top 10,0.9545,0.9527,0.9566,0.9581,0.9463,0.9489,0.9548,0.9338,0.9743,0.9735,0.799,0.924,0.928,0.9564,0.9734,0.9719,0.9749,0.9875,0.9831
11,Top 15,0.9531,0.9532,0.9529,0.9587,0.9444,0.9452,0.9548,0.9312,0.9723,0.9735,0.794,0.9226,0.928,0.9561,0.9687,0.9712,0.9749,0.9875,0.9831
