                        ,  ,Mode    ,balanced_accuracy  ,East Asian         ,White              ,Latino Hispanic    ,Southeast Asian    ,Black              ,Indian             ,Middle Eastern     ,0-2                ,3-9                ,10-19              ,20-29              ,30-39              ,40-49              ,50-59              ,60-69              ,more than 70
openai                  ,0 ,Avg Sum ,0.9482714136561056 ,0.952877938000836  ,0.9350000832958504 ,0.93920904298151   ,0.9522008803521408 ,0.9301926285002884 ,0.9683015426280897 ,0.9667850087591784 ,0.7824668378262729 ,0.9230835061387052 ,0.9221181780452375 ,0.9496730840165152 ,0.9651606449758016 ,0.969204927211646  ,0.975228494623656  ,0.9795957284515636 ,0.9833333333333334
openai                  ,1 ,Top 1   ,0.9543821950569504 ,0.9580559121309444 ,0.9467864460992552 ,0.9498556647776476 ,0.9527711084433774 ,0.9397174142711414 ,0.9684320820692764 ,0.9667850087591784 ,0.792148053059478  ,0.9267173562423884 ,0.9259542666758894 ,0.957594624180479  ,0.9725871807465618 ,0.9728443449048152 ,0.9755376344086022 ,0.9795957284515636 ,0.9833333333333334
laion400m_e31           ,0 ,Avg Sum ,0.9587960240152752 ,0.9567988798260468 ,0.9627389896768676 ,0.9625905893435026 ,0.948559423769508  ,0.9350244608931576 ,0.9675940188568576 ,0.9776314808602632 ,0.7747111681643132 ,0.9265231559198184 ,0.9321450393119826 ,0.9626404043168376 ,0.9788030391968948 ,0.9841698055583834 ,0.9768951612903224 ,0.9795957284515636 ,0.9488505747126436
laion400m_e31           ,1 ,Top 1   ,0.9565318487630604 ,0.9541782588354386 ,0.952800406483749  ,0.9573656542943528 ,0.9499949979991996 ,0.9402398638985654 ,0.9690612821757968 ,0.9775336389727534 ,0.7946619597774924 ,0.9290016786807545 ,0.9400751654331234 ,0.9586774032340588 ,0.9721978472854472 ,0.977769011503614  ,0.9742204301075268 ,0.9795957284515636 ,0.9491379310344829
laion2b_s32b_b82k       ,0 ,Avg Sum ,0.9654624891097502 ,0.9613167038781528 ,0.9660014104763968 ,0.968040383475896  ,0.957843137254902  ,0.9536929418047329 ,0.9708444509424078 ,0.9788614931603862 ,0.7346491228070176 ,0.9324742437707778 ,0.939311406239192  ,0.9734875301928774 ,0.9844176769370836 ,0.9847678916827852 ,0.9849193548387096 ,0.9839816933638444 ,0.9747126436781608
laion2b_s32b_b82k       ,1 ,Top 1   ,0.9667696201095556 ,0.960646564139449  ,0.9684544732648086 ,0.9699600419331804 ,0.962219887955182  ,0.9520247403045088 ,0.9736310328802744 ,0.9800262775355026 ,0.7768506632434746 ,0.9455218722227708 ,0.9505991907034654 ,0.9708214842402104 ,0.9835963330777708 ,0.9816374834571924 ,0.9795698924731182 ,0.9771802695143657 ,0.9660919540229884
datacomp_xl_s13b_b90k   ,0 ,Avg Sum ,0.964489791795548  ,0.9510273533559432 ,0.9646603472881649 ,0.9725102174144244 ,0.950360144057623  ,0.9549792260140236 ,0.97550122794101   ,0.9807065116105708 ,0.7872807017543859 ,0.9284256607748264 ,0.9385937608079132 ,0.9697387051866306 ,0.984527738511668  ,0.9846279140792018 ,0.9805779569892472 ,0.9883676582761252 ,0.9660919540229884
datacomp_xl_s13b_b90k   ,1 ,Top 1   ,0.9645798637942808 ,0.952267736226339  ,0.9637774112760368 ,0.9731688418237896 ,0.9538915566226492 ,0.9560571917009868 ,0.9749329462403772 ,0.9768860188601888 ,0.7959991442019684 ,0.9378394391231362 ,0.948060051647414  ,0.967548606070702  ,0.9809204142508026 ,0.98232464623842   ,0.979260752688172  ,0.9791507754894482 ,0.9660919540229884
commonpool_xl_s13b_b90k ,0 ,Avg Sum ,0.9595671714355436 ,0.949110170973043  ,0.9658500896818654 ,0.9693576322946262 ,0.9442376950780312 ,0.933250446810164  ,0.9688698243287228 ,0.9826167579857616 ,0.7516581086863501 ,0.904548895691386  ,0.940967178529432  ,0.9665424247111598 ,0.984849687335282  ,0.9817265601140182 ,0.9718951612903226 ,0.9907831172133232 ,0.9491379310344829
commonpool_xl_s13b_b90k ,1 ,Top 1   ,0.9609099900783672 ,0.9535747168347428 ,0.9583604044846484 ,0.9682090277883286 ,0.9538915566226492 ,0.9403779162526472 ,0.9722333905966348 ,0.9813215177606324 ,0.7756739409499358 ,0.9224745729238668 ,0.9467169883101612 ,0.9640072641385956 ,0.9820127940965068 ,0.982922732362822  ,0.9718951612903226 ,0.9863971523010424 ,0.9491379310344829
